preferred_label_esco,potential_entity_variants_dbpedia,class_label_dbpedia,entity_valid_variants_dbpedia,llm_formatted_entity,llm_expanded_class_label
Joomla,"['joomla', 'Joomla']","['software', 'work']",['Joomla'],joomla,work
hearing loss,"['hearing_Loss', 'hearing_loss', 'Hearing_loss', 'Hearing_Loss']",['disease'],['Hearing_loss'],hearing loss,disease
musical theory,"['musical_theory', 'Musical_theory', 'Musical_Theory', 'musical_Theory']",['person function'],['Musical_theory'],musical theory,person function
John The Ripper,"['john_The_ripper', 'john_the_Ripper', 'John_The_Ripper', 'john_the_ripper', 'John_The_ripper', 'John_the_ripper', 'john_The_Ripper', 'John_the_Ripper']","['software', 'work']",['John_the_Ripper'],john the ripper,software
John The Ripper,"['john_The_ripper', 'john_the_Ripper', 'John_The_Ripper', 'john_the_ripper', 'John_The_ripper', 'John_the_ripper', 'john_The_Ripper', 'John_the_Ripper']","['software', 'work']",['John_the_Ripper'],john the ripper,work
politics,"['politics', 'Politics']","['company', 'music genre']",['Politics'],politics,company
politics,"['politics', 'Politics']","['company', 'music genre']",['Politics'],politics,music genre
cardiology,"['Cardiology', 'cardiology']","['medical specialty', 'organisation', 'person function']",['Cardiology'],cardiology,medical specialty
cardiology,"['Cardiology', 'cardiology']","['medical specialty', 'organisation', 'person function']",['Cardiology'],cardiology,organisation
cardiology,"['Cardiology', 'cardiology']","['medical specialty', 'organisation', 'person function']",['Cardiology'],cardiology,person function
Litmos,"['litmos', 'Litmos']",['company'],['Litmos'],litmos,company
epidemiology,"['epidemiology', 'Epidemiology']","['book', 'music genre']",['Epidemiology'],epidemiology,book
epidemiology,"['epidemiology', 'Epidemiology']","['book', 'music genre']",['Epidemiology'],epidemiology,music genre
photogrammetry,"['Photogrammetry', 'photogrammetry']","['work', 'music genre']",['Photogrammetry'],photogrammetry,work
photogrammetry,"['Photogrammetry', 'photogrammetry']","['work', 'music genre']",['Photogrammetry'],photogrammetry,music genre
boxing,"['boxing', 'Boxing']","['person', 'person function']",['Boxing'],boxing,person
boxing,"['boxing', 'Boxing']","['person', 'person function']",['Boxing'],boxing,person function
product data management,"['product_Data_Management', 'product_Data_management', 'Product_data_Management', 'Product_data_management', 'Product_Data_Management', 'Product_Data_management', 'product_data_management', 'product_data_Management']",['disease'],['Product_data_management'],product data management,disease
primary care,"['Primary_Care', 'Primary_care', 'primary_care', 'primary_Care']",['organisation'],['Primary_care'],primary care,organisation
international human rights law,"['international_human_Rights_Law', 'international_human_rights_law', 'international_Human_rights_law', 'International_human_rights_law', 'international_human_rights_Law', 'International_Human_rights_law', 'International_Human_Rights_law', 'international_human_Rights_law', 'international_Human_rights_Law', 'International_Human_Rights_Law', 'international_Human_Rights_Law', 'International_Human_rights_Law', 'International_human_Rights_Law', 'International_human_Rights_law', 'international_Human_Rights_law', 'International_human_rights_Law']","['organisation', 'person function']",['International_human_rights_law'],international human rights law,organisation
international human rights law,"['international_human_Rights_Law', 'international_human_rights_law', 'international_Human_rights_law', 'International_human_rights_law', 'international_human_rights_Law', 'International_Human_rights_law', 'International_Human_Rights_law', 'international_human_Rights_law', 'international_Human_rights_Law', 'International_Human_Rights_Law', 'international_Human_Rights_Law', 'International_Human_rights_Law', 'International_human_Rights_Law', 'International_human_Rights_law', 'international_Human_Rights_law', 'International_human_rights_Law']","['organisation', 'person function']",['International_human_rights_law'],international human rights law,person function
electromagnetism,"['electromagnetism', 'Electromagnetism']",['organisation'],['Electromagnetism'],electromagnetism,organisation
camouflage,"['camouflage', 'Camouflage']",['university'],['Camouflage'],camouflage,university
Kali Linux,"['kali_Linux', 'kali_linux', 'Kali_Linux', 'Kali_linux']","['software', 'work']",['Kali_Linux'],kali linux,software
Kali Linux,"['kali_Linux', 'kali_linux', 'Kali_Linux', 'Kali_linux']","['software', 'work']",['Kali_Linux'],kali linux,work
Common Lisp,"['common_Lisp', 'common_lisp', 'Common_Lisp', 'Common_lisp']","['language', 'programming language']",['Common_Lisp'],common lisp,language
Common Lisp,"['common_Lisp', 'common_lisp', 'Common_Lisp', 'Common_lisp']","['language', 'programming language']",['Common_Lisp'],common lisp,programming language
nuclear physics,"['nuclear_physics', 'Nuclear_physics', 'nuclear_Physics', 'Nuclear_Physics']",['person function'],['Nuclear_physics'],nuclear physics,person function
clinical biochemistry,"['clinical_biochemistry', 'Clinical_biochemistry', 'Clinical_Biochemistry', 'clinical_Biochemistry']","['periodical literature', 'work', 'academic journal', 'written work']",['Clinical_Biochemistry'],clinical biochemistry,periodical literature
clinical biochemistry,"['clinical_biochemistry', 'Clinical_biochemistry', 'Clinical_Biochemistry', 'clinical_Biochemistry']","['periodical literature', 'work', 'academic journal', 'written work']",['Clinical_Biochemistry'],clinical biochemistry,work
clinical biochemistry,"['clinical_biochemistry', 'Clinical_biochemistry', 'Clinical_Biochemistry', 'clinical_Biochemistry']","['periodical literature', 'work', 'academic journal', 'written work']",['Clinical_Biochemistry'],clinical biochemistry,academic journal
clinical biochemistry,"['clinical_biochemistry', 'Clinical_biochemistry', 'Clinical_Biochemistry', 'clinical_Biochemistry']","['periodical literature', 'work', 'academic journal', 'written work']",['Clinical_Biochemistry'],clinical biochemistry,written work
linguistics,"['Linguistics', 'linguistics']","['book', 'person function']",['Linguistics'],linguistics,book
linguistics,"['Linguistics', 'linguistics']","['book', 'person function']",['Linguistics'],linguistics,person function
geography,"['geography', 'Geography']",['music genre'],['Geography'],geography,music genre
personal development,"['personal_development', 'Personal_development', 'personal_Development', 'Personal_Development']","['music genre', 'music genre']","['Personal_development', 'Personal_Development']",personal development,music genre
personal development,"['personal_development', 'Personal_development', 'personal_Development', 'Personal_Development']","['music genre', 'music genre']","['Personal_development', 'Personal_Development']",personal development,music genre
criminal law,"['criminal_Law', 'criminal_law', 'Criminal_Law', 'Criminal_law']",['organisation'],['Criminal_law'],criminal law,organisation
nutrition,"['nutrition', 'Nutrition']","['work', 'music genre']",['Nutrition'],nutrition,work
nutrition,"['nutrition', 'Nutrition']","['work', 'music genre']",['Nutrition'],nutrition,music genre
vascular surgery,"['vascular_surgery', 'vascular_Surgery', 'Vascular_Surgery', 'Vascular_surgery']",['person function'],['Vascular_surgery'],vascular surgery,person function
optoelectronics,"['Optoelectronics', 'optoelectronics']",['book'],['Optoelectronics'],optoelectronics,book
Smalltalk,"['Smalltalk', 'smalltalk']","['language', 'programming language']",['Smalltalk'],smalltalk,language
Smalltalk,"['Smalltalk', 'smalltalk']","['language', 'programming language']",['Smalltalk'],smalltalk,programming language
polymer chemistry,"['Polymer_chemistry', 'Polymer_Chemistry', 'polymer_Chemistry', 'polymer_chemistry']",['work'],['Polymer_chemistry'],polymer chemistry,work
macroeconomics,"['Macroeconomics', 'macroeconomics']",['organisation'],['Macroeconomics'],macroeconomics,organisation
terminology,"['Terminology', 'terminology']","['book', 'music genre']",['Terminology'],terminology,book
terminology,"['Terminology', 'terminology']","['book', 'music genre']",['Terminology'],terminology,music genre
commercial law,"['commercial_Law', 'Commercial_law', 'commercial_law', 'Commercial_Law']",['organisation'],['Commercial_law'],commercial law,organisation
robotics,"['Robotics', 'robotics']","['sport', 'organisation']",['Robotics'],robotics,sport
robotics,"['Robotics', 'robotics']","['sport', 'organisation']",['Robotics'],robotics,organisation
reprography,"['reprography', 'Reprography']",['place'],['Reprography'],reprography,place
mass spectrometry,"['Mass_spectrometry', 'mass_spectrometry', 'Mass_Spectrometry', 'mass_Spectrometry']",['topical concept'],['Mass_spectrometry'],mass spectrometry,topical concept
pregnancy,"['pregnancy', 'Pregnancy']","['disease', 'sports event']",['Pregnancy'],pregnancy,disease
pregnancy,"['pregnancy', 'Pregnancy']","['disease', 'sports event']",['Pregnancy'],pregnancy,sports event
trigonometry,"['Trigonometry', 'trigonometry']",['organisation'],['Trigonometry'],trigonometry,organisation
histology,"['Histology', 'histology']",['book'],['Histology'],histology,book
online analytical processing,"['online_Analytical_processing', 'online_analytical_processing', 'Online_analytical_Processing', 'Online_analytical_processing', 'Online_Analytical_processing', 'online_Analytical_Processing', 'online_analytical_Processing', 'Online_Analytical_Processing']",['programming language'],['Online_analytical_processing'],online analytical processing,programming language
pneumatics,"['pneumatics', 'Pneumatics']",['organisation'],['Pneumatics'],pneumatics,organisation
herpetology,"['herpetology', 'Herpetology']","['organisation', 'music genre']",['Herpetology'],herpetology,organisation
herpetology,"['herpetology', 'Herpetology']","['organisation', 'music genre']",['Herpetology'],herpetology,music genre
inorganic chemistry,"['inorganic_Chemistry', 'Inorganic_Chemistry', 'Inorganic_chemistry', 'inorganic_chemistry']",['university'],['Inorganic_Chemistry'],inorganic chemistry,university
Drupal,"['Drupal', 'drupal']","['software', 'work']",['Drupal'],drupal,software
Drupal,"['Drupal', 'drupal']","['software', 'work']",['Drupal'],drupal,work
phoniatrics,"['phoniatrics', 'Phoniatrics']",['book'],['Phoniatrics'],phoniatrics,book
tobacco products,"['tobacco_products', 'Tobacco_Products', 'tobacco_Products', 'Tobacco_products']",['software'],['Tobacco_products'],tobacco products,software
oceanography,"['Oceanography', 'oceanography']","['organisation', 'person function']",['Oceanography'],oceanography,organisation
oceanography,"['Oceanography', 'oceanography']","['organisation', 'person function']",['Oceanography'],oceanography,person function
customer relationship management,"['Customer_Relationship_Management', 'customer_relationship_management', 'customer_Relationship_management', 'Customer_relationship_management', 'customer_Relationship_Management', 'customer_relationship_Management', 'Customer_relationship_Management', 'Customer_Relationship_management']","['programming language', 'music genre', 'music genre']","['Customer_Relationship_Management', 'Customer_relationship_management']",customer relationship management,programming language
customer relationship management,"['Customer_Relationship_Management', 'customer_relationship_management', 'customer_Relationship_management', 'Customer_relationship_management', 'customer_Relationship_Management', 'customer_relationship_Management', 'Customer_relationship_Management', 'Customer_Relationship_management']","['programming language', 'music genre', 'music genre']","['Customer_Relationship_Management', 'Customer_relationship_management']",customer relationship management,music genre
customer relationship management,"['Customer_Relationship_Management', 'customer_relationship_management', 'customer_Relationship_management', 'Customer_relationship_management', 'customer_Relationship_Management', 'customer_relationship_Management', 'Customer_relationship_Management', 'Customer_Relationship_management']","['programming language', 'music genre', 'music genre']","['Customer_Relationship_Management', 'Customer_relationship_management']",customer relationship management,music genre
electroplating,"['electroplating', 'Electroplating']",['Election'],['Electroplating'],electroplating,Election
electronics,"['Electronics', 'electronics']","['work', 'music genre']",['Electronics'],electronics,work
electronics,"['Electronics', 'electronics']","['work', 'music genre']",['Electronics'],electronics,music genre
micromechanics,"['micromechanics', 'Micromechanics']",['work'],['Micromechanics'],micromechanics,work
psychology,"['Psychology', 'psychology']","['book', 'music genre']",['Psychology'],psychology,book
psychology,"['Psychology', 'psychology']","['book', 'music genre']",['Psychology'],psychology,music genre
metalogic,"['Metalogic', 'metalogic']",['book'],['Metalogic'],metalogic,book
Sakai,"['Sakai', 'sakai']","['place', 'populated place', 'city', 'settlement']",['Sakai'],sakai,place
Sakai,"['Sakai', 'sakai']","['place', 'populated place', 'city', 'settlement']",['Sakai'],sakai,populated place
Sakai,"['Sakai', 'sakai']","['place', 'populated place', 'city', 'settlement']",['Sakai'],sakai,city
Sakai,"['Sakai', 'sakai']","['place', 'populated place', 'city', 'settlement']",['Sakai'],sakai,settlement
sex education,"['sex_Education', 'sex_education', 'Sex_education', 'Sex_Education']","['person function', 'programming language']",['Sex_education'],sex education,person function
sex education,"['sex_Education', 'sex_education', 'Sex_education', 'Sex_Education']","['person function', 'programming language']",['Sex_education'],sex education,programming language
transportation engineering,"['Transportation_Engineering', 'transportation_engineering', 'transportation_Engineering', 'Transportation_engineering']",['software'],['Transportation_engineering'],transportation engineering,software
Adobe Photoshop Lightroom,"['adobe_Photoshop_Lightroom', 'adobe_photoshop_lightroom', 'Adobe_photoshop_Lightroom', 'adobe_photoshop_Lightroom', 'adobe_Photoshop_lightroom', 'Adobe_Photoshop_Lightroom', 'Adobe_Photoshop_lightroom', 'Adobe_photoshop_lightroom']",['software'],['Adobe_Photoshop_Lightroom'],adobe photoshop lightroom,software
film studies,"['Film_Studies', 'film_studies', 'Film_studies', 'film_Studies']","['sport', 'person function']",['Film_studies'],film studies,sport
film studies,"['Film_Studies', 'film_studies', 'Film_studies', 'film_Studies']","['sport', 'person function']",['Film_studies'],film studies,person function
silvering,"['Silvering', 'silvering']",['Election'],['Silvering'],silvering,Election
Process-based management,"['process-based_Management', 'Process-based_management', 'Process-based_Management', 'process-based_management']",['programming language'],['Process-based_management'],process-based management,programming language
landscape architecture,"['Landscape_architecture', 'landscape_architecture', 'Landscape_Architecture', 'landscape_Architecture']",['person function'],['Landscape_architecture'],landscape architecture,person function
Urdu,"['urdu', 'Urdu']","['language', 'building']",['Urdu'],urdu,language
Urdu,"['urdu', 'Urdu']","['language', 'building']",['Urdu'],urdu,building
urban planning,"['urban_Planning', 'urban_planning', 'Urban_planning', 'Urban_Planning']","['Election', 'person function']",['Urban_planning'],urban planning,Election
urban planning,"['urban_Planning', 'urban_planning', 'Urban_planning', 'Urban_Planning']","['Election', 'person function']",['Urban_planning'],urban planning,person function
geodesy,"['geodesy', 'Geodesy']",['sport'],['Geodesy'],geodesy,sport
data protection,"['Data_protection', 'data_Protection', 'data_protection', 'Data_Protection']","['music genre', 'music genre']","['Data_protection', 'Data_Protection']",data protection,music genre
data protection,"['Data_protection', 'data_Protection', 'data_protection', 'Data_Protection']","['music genre', 'music genre']","['Data_protection', 'Data_Protection']",data protection,music genre
immigration law,"['Immigration_Law', 'immigration_law', 'immigration_Law', 'Immigration_law']",['person function'],['Immigration_law'],immigration law,person function
biotechnology,"['Biotechnology', 'biotechnology']",['person function'],['Biotechnology'],biotechnology,person function
risk management,"['Risk_management', 'Risk_Management', 'risk_management', 'risk_Management']","['organisation', 'music genre']",['Risk_management'],risk management,organisation
risk management,"['Risk_management', 'Risk_Management', 'risk_management', 'risk_Management']","['organisation', 'music genre']",['Risk_management'],risk management,music genre
database management systems,"['database_management_systems', 'Database_Management_Systems', 'database_Management_Systems', 'database_management_Systems', 'database_Management_systems', 'Database_management_systems', 'Database_Management_systems', 'Database_management_Systems']",['music genre'],['Database_management_systems'],database management systems,music genre
semantics,"['semantics', 'Semantics']","['book', 'person function']",['Semantics'],semantics,book
semantics,"['semantics', 'Semantics']","['book', 'person function']",['Semantics'],semantics,person function
aerospace engineering,"['Aerospace_engineering', 'Aerospace_Engineering', 'aerospace_engineering', 'aerospace_Engineering']","['person function', 'person function']","['Aerospace_engineering', 'Aerospace_Engineering']",aerospace engineering,person function
aerospace engineering,"['Aerospace_engineering', 'Aerospace_Engineering', 'aerospace_engineering', 'aerospace_Engineering']","['person function', 'person function']","['Aerospace_engineering', 'Aerospace_Engineering']",aerospace engineering,person function
thoracic surgery,"['Thoracic_surgery', 'Thoracic_Surgery', 'thoracic_surgery', 'thoracic_Surgery']",['person function'],['Thoracic_Surgery'],thoracic surgery,person function
consumer protection,"['consumer_Protection', 'consumer_protection', 'Consumer_protection', 'Consumer_Protection']","['person function', 'Band', 'music genre']","['Consumer_Protection', 'Consumer_protection']",consumer protection,person function
consumer protection,"['consumer_Protection', 'consumer_protection', 'Consumer_protection', 'Consumer_Protection']","['person function', 'Band', 'music genre']","['Consumer_Protection', 'Consumer_protection']",consumer protection,Band
consumer protection,"['consumer_Protection', 'consumer_protection', 'Consumer_protection', 'Consumer_Protection']","['person function', 'Band', 'music genre']","['Consumer_Protection', 'Consumer_protection']",consumer protection,music genre
pharmacology,"['pharmacology', 'Pharmacology']","['organisation', 'person function']",['Pharmacology'],pharmacology,organisation
pharmacology,"['pharmacology', 'Pharmacology']","['organisation', 'person function']",['Pharmacology'],pharmacology,person function
logging,"['Logging', 'logging']",['railway line'],['Logging'],logging,railway line
packaging engineering,"['Packaging_Engineering', 'Packaging_engineering', 'packaging_Engineering', 'packaging_engineering']",['scientist'],['Packaging_engineering'],packaging engineering,scientist
systems thinking,"['Systems_Thinking', 'systems_thinking', 'systems_Thinking', 'Systems_thinking']",['Election'],['Systems_thinking'],systems thinking,Election
Puppet,"['Puppet', 'puppet']",['music genre'],['Puppet'],puppet,music genre
hydraulics,"['Hydraulics', 'hydraulics']",['scientist'],['Hydraulics'],hydraulics,scientist
Microsoft Access,"['microsoft_access', 'microsoft_Access', 'Microsoft_Access', 'Microsoft_access']","['software', 'work']",['Microsoft_Access'],microsoft access,software
Microsoft Access,"['microsoft_access', 'microsoft_Access', 'Microsoft_Access', 'Microsoft_access']","['software', 'work']",['Microsoft_Access'],microsoft access,work
scientific modelling,"['Scientific_Modelling', 'scientific_Modelling', 'scientific_modelling', 'Scientific_modelling']",['sport'],['Scientific_modelling'],scientific modelling,sport
electrical engineering,"['Electrical_Engineering', 'electrical_Engineering', 'electrical_engineering', 'Electrical_engineering']","['university', 'person function']","['Electrical_Engineering', 'Electrical_engineering']",electrical engineering,university
electrical engineering,"['Electrical_Engineering', 'electrical_Engineering', 'electrical_engineering', 'Electrical_engineering']","['university', 'person function']","['Electrical_Engineering', 'Electrical_engineering']",electrical engineering,person function
neonatology,"['Neonatology', 'neonatology']",['person function'],['Neonatology'],neonatology,person function
aerodynamics,"['Aerodynamics', 'aerodynamics']","['organisation', 'person function']",['Aerodynamics'],aerodynamics,organisation
aerodynamics,"['Aerodynamics', 'aerodynamics']","['organisation', 'person function']",['Aerodynamics'],aerodynamics,person function
accounting,"['Accounting', 'accounting']","['company', 'music genre']",['Accounting'],accounting,company
accounting,"['Accounting', 'accounting']","['company', 'music genre']",['Accounting'],accounting,music genre
applied kinesiology,"['Applied_kinesiology', 'applied_Kinesiology', 'Applied_Kinesiology', 'applied_kinesiology']",['topical concept'],['Applied_kinesiology'],applied kinesiology,topical concept
automatic meter reading,"['automatic_meter_reading', 'automatic_meter_Reading', 'automatic_Meter_Reading', 'Automatic_meter_Reading', 'automatic_Meter_reading', 'Automatic_Meter_Reading', 'Automatic_Meter_reading', 'Automatic_meter_reading']",['company'],['Automatic_meter_reading'],automatic meter reading,company
forest ecology,"['forest_Ecology', 'Forest_Ecology', 'Forest_ecology', 'forest_ecology']",['book'],['Forest_ecology'],forest ecology,book
geochronology,"['Geochronology', 'geochronology']",['work'],['Geochronology'],geochronology,work
safety engineering,"['Safety_engineering', 'safety_engineering', 'Safety_Engineering', 'safety_Engineering']","['sport', 'person function']",['Safety_engineering'],safety engineering,sport
safety engineering,"['Safety_engineering', 'safety_engineering', 'Safety_Engineering', 'safety_Engineering']","['sport', 'person function']",['Safety_engineering'],safety engineering,person function
alkylation,"['alkylation', 'Alkylation']",['university'],['Alkylation'],alkylation,university
Hebrew,"['Hebrew', 'hebrew']",['language'],['Hebrew'],hebrew,language
livestock,"['livestock', 'Livestock']","['animal', 'person function']",['Livestock'],livestock,animal
livestock,"['livestock', 'Livestock']","['animal', 'person function']",['Livestock'],livestock,person function
Metasploit,"['Metasploit', 'metasploit']",['company'],['Metasploit'],metasploit,company
spelling,"['Spelling', 'spelling']","['person', 'music genre']",['Spelling'],spelling,person
spelling,"['Spelling', 'spelling']","['person', 'music genre']",['Spelling'],spelling,music genre
animal production science,"['Animal_production_science', 'animal_Production_Science', 'animal_Production_science', 'Animal_Production_science', 'animal_production_Science', 'animal_production_science', 'Animal_production_Science', 'Animal_Production_Science']","['periodical literature', 'work', 'academic journal', 'written work']",['Animal_Production_Science'],animal production science,periodical literature
animal production science,"['Animal_production_science', 'animal_Production_Science', 'animal_Production_science', 'Animal_Production_science', 'animal_production_Science', 'animal_production_science', 'Animal_production_Science', 'Animal_Production_Science']","['periodical literature', 'work', 'academic journal', 'written work']",['Animal_Production_Science'],animal production science,work
animal production science,"['Animal_production_science', 'animal_Production_Science', 'animal_Production_science', 'Animal_Production_science', 'animal_production_Science', 'animal_production_science', 'Animal_production_Science', 'Animal_Production_Science']","['periodical literature', 'work', 'academic journal', 'written work']",['Animal_Production_Science'],animal production science,academic journal
animal production science,"['Animal_production_science', 'animal_Production_Science', 'animal_Production_science', 'Animal_Production_science', 'animal_production_Science', 'animal_production_science', 'Animal_production_Science', 'Animal_Production_Science']","['periodical literature', 'work', 'academic journal', 'written work']",['Animal_Production_Science'],animal production science,written work
property law,"['Property_law', 'Property_Law', 'property_law', 'property_Law']",['place'],['Property_law'],property law,place
postpartum period,"['Postpartum_period', 'Postpartum_Period', 'postpartum_period', 'postpartum_Period']",['country'],['Postpartum_period'],postpartum period,country
floriculture,"['Floriculture', 'floriculture']","['sport', 'person function']",['Floriculture'],floriculture,sport
floriculture,"['Floriculture', 'floriculture']","['sport', 'person function']",['Floriculture'],floriculture,person function
reverse engineering,"['Reverse_engineering', 'reverse_Engineering', 'Reverse_Engineering', 'reverse_engineering']","['music genre', 'anatomical structure', 'music genre']","['Reverse_engineering', 'Reverse_Engineering']",reverse engineering,music genre
reverse engineering,"['Reverse_engineering', 'reverse_Engineering', 'Reverse_Engineering', 'reverse_engineering']","['music genre', 'anatomical structure', 'music genre']","['Reverse_engineering', 'Reverse_Engineering']",reverse engineering,anatomical structure
reverse engineering,"['Reverse_engineering', 'reverse_Engineering', 'Reverse_Engineering', 'reverse_engineering']","['music genre', 'anatomical structure', 'music genre']","['Reverse_engineering', 'Reverse_Engineering']",reverse engineering,music genre
microelectronics,"['Microelectronics', 'microelectronics']","['disease', 'person function']",['Microelectronics'],microelectronics,disease
microelectronics,"['Microelectronics', 'microelectronics']","['disease', 'person function']",['Microelectronics'],microelectronics,person function
forensic linguistics,"['forensic_linguistics', 'forensic_Linguistics', 'Forensic_linguistics', 'Forensic_Linguistics']",['software'],['Forensic_linguistics'],forensic linguistics,software
Maltego,"['maltego', 'Maltego']","['software', 'work']",['Maltego'],maltego,software
Maltego,"['maltego', 'Maltego']","['software', 'work']",['Maltego'],maltego,work
sophrology,"['sophrology', 'Sophrology']",['book'],['Sophrology'],sophrology,book
strategic planning,"['strategic_planning', 'strategic_Planning', 'Strategic_Planning', 'Strategic_planning']",['Election'],['Strategic_planning'],strategic planning,Election
sports nutrition,"['Sports_nutrition', 'sports_nutrition', 'sports_Nutrition', 'Sports_Nutrition']","['book', 'person function']",['Sports_nutrition'],sports nutrition,book
sports nutrition,"['Sports_nutrition', 'sports_nutrition', 'sports_Nutrition', 'Sports_Nutrition']","['book', 'person function']",['Sports_nutrition'],sports nutrition,person function
obesity,"['Obesity', 'obesity']",['disease'],['Obesity'],obesity,disease
mechanics,"['Mechanics', 'mechanics']","['place', 'music genre']",['Mechanics'],mechanics,place
mechanics,"['Mechanics', 'mechanics']","['place', 'music genre']",['Mechanics'],mechanics,music genre
homeopathy,"['Homeopathy', 'homeopathy']",['person function'],['Homeopathy'],homeopathy,person function
data mining,"['data_Mining', 'data_mining', 'Data_mining', 'Data_Mining']","['disease', 'music genre', 'music genre']","['Data_mining', 'Data_Mining']",data mining,disease
data mining,"['data_Mining', 'data_mining', 'Data_mining', 'Data_Mining']","['disease', 'music genre', 'music genre']","['Data_mining', 'Data_Mining']",data mining,music genre
data mining,"['data_Mining', 'data_mining', 'Data_mining', 'Data_Mining']","['disease', 'music genre', 'music genre']","['Data_mining', 'Data_Mining']",data mining,music genre
biomedicine,"['biomedicine', 'Biomedicine']",['organisation'],['Biomedicine'],biomedicine,organisation
demography,"['demography', 'Demography']","['book', 'person function']",['Demography'],demography,book
demography,"['demography', 'Demography']","['book', 'person function']",['Demography'],demography,person function
digital compositing,"['Digital_Compositing', 'digital_compositing', 'digital_Compositing', 'Digital_compositing']","['Election', 'person function']",['Digital_compositing'],digital compositing,Election
digital compositing,"['Digital_Compositing', 'digital_compositing', 'digital_Compositing', 'Digital_compositing']","['Election', 'person function']",['Digital_compositing'],digital compositing,person function
health informatics,"['Health_informatics', 'health_informatics', 'Health_Informatics', 'health_Informatics']",['music genre'],['Health_informatics'],health informatics,music genre
morality,"['Morality', 'morality']",['music genre'],['Morality'],morality,music genre
musical notation,"['Musical_Notation', 'Musical_notation', 'musical_Notation', 'musical_notation']","['music genre', 'music genre']","['Musical_notation', 'Musical_Notation']",musical notation,music genre
musical notation,"['Musical_Notation', 'Musical_notation', 'musical_Notation', 'musical_notation']","['music genre', 'music genre']","['Musical_notation', 'Musical_Notation']",musical notation,music genre
embryology,"['Embryology', 'embryology']",['organisation'],['Embryology'],embryology,organisation
competition law,"['Competition_Law', 'Competition_law', 'competition_Law', 'competition_law']",['agent'],['Competition_law'],competition law,agent
yoga,"['Yoga', 'yoga']","['company', 'person function']",['Yoga'],yoga,company
yoga,"['Yoga', 'yoga']","['company', 'person function']",['Yoga'],yoga,person function
pathology,"['Pathology', 'pathology']","['medical specialty', 'military unit', 'person function']",['Pathology'],pathology,medical specialty
pathology,"['Pathology', 'pathology']","['medical specialty', 'military unit', 'person function']",['Pathology'],pathology,military unit
pathology,"['Pathology', 'pathology']","['medical specialty', 'military unit', 'person function']",['Pathology'],pathology,person function
blood transfusion,"['Blood_Transfusion', 'blood_transfusion', 'blood_Transfusion', 'Blood_transfusion']",['disease'],['Blood_transfusion'],blood transfusion,disease
pattern grading,"['pattern_Grading', 'Pattern_grading', 'Pattern_Grading', 'pattern_grading']",['fashion'],['Pattern_grading'],pattern grading,fashion
Apache Maven,"['Apache_maven', 'apache_Maven', 'Apache_Maven', 'apache_maven']","['software', 'work']",['Apache_Maven'],apache maven,software
Apache Maven,"['Apache_maven', 'apache_Maven', 'Apache_Maven', 'apache_maven']","['software', 'work']",['Apache_Maven'],apache maven,work
electroencephalography,"['Electroencephalography', 'electroencephalography']","['software', 'person function']",['Electroencephalography'],electroencephalography,software
electroencephalography,"['Electroencephalography', 'electroencephalography']","['software', 'person function']",['Electroencephalography'],electroencephalography,person function
kinesitherapy,"['kinesitherapy', 'Kinesitherapy']",['drug'],['Kinesitherapy'],kinesitherapy,drug
animal welfare,"['animal_Welfare', 'animal_welfare', 'Animal_welfare', 'Animal_Welfare']",['television station'],['Animal_welfare'],animal welfare,television station
hinduism,"['hinduism', 'Hinduism']","['ethnic group', 'country']",['Hinduism'],hinduism,ethnic group
hinduism,"['hinduism', 'Hinduism']","['ethnic group', 'country']",['Hinduism'],hinduism,country
health psychology,"['Health_Psychology', 'health_Psychology', 'health_psychology', 'Health_psychology']",['book'],['Health_psychology'],health psychology,book
cryopreservation,"['Cryopreservation', 'cryopreservation']",['Election'],['Cryopreservation'],cryopreservation,Election
resuscitation,"['resuscitation', 'Resuscitation']",['Election'],['Resuscitation'],resuscitation,Election
set theory,"['set_Theory', 'set_theory', 'Set_Theory', 'Set_theory']",['organisation'],['Set_theory'],set theory,organisation
organic chemistry,"['Organic_chemistry', 'organic_Chemistry', 'Organic_Chemistry', 'organic_chemistry']","['person function', 'university']","['Organic_chemistry', 'Organic_Chemistry']",organic chemistry,person function
organic chemistry,"['Organic_chemistry', 'organic_Chemistry', 'Organic_Chemistry', 'organic_chemistry']","['person function', 'university']","['Organic_chemistry', 'Organic_Chemistry']",organic chemistry,university
industrial design,"['industrial_design', 'Industrial_design', 'Industrial_Design', 'industrial_Design']","['Election', 'person function', 'person function']","['Industrial_design', 'Industrial_Design']",industrial design,Election
industrial design,"['industrial_design', 'Industrial_design', 'Industrial_Design', 'industrial_Design']","['Election', 'person function', 'person function']","['Industrial_design', 'Industrial_Design']",industrial design,person function
industrial design,"['industrial_design', 'Industrial_design', 'Industrial_Design', 'industrial_Design']","['Election', 'person function', 'person function']","['Industrial_design', 'Industrial_Design']",industrial design,person function
military aviation,"['military_Aviation', 'Military_aviation', 'military_aviation', 'Military_Aviation']",['music genre'],['Military_aviation'],military aviation,music genre
opinion poll,"['opinion_Poll', 'opinion_poll', 'Opinion_poll', 'Opinion_Poll']","['organisation', 'music genre']",['Opinion_poll'],opinion poll,organisation
opinion poll,"['opinion_Poll', 'opinion_poll', 'Opinion_poll', 'Opinion_Poll']","['organisation', 'music genre']",['Opinion_poll'],opinion poll,music genre
